group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, topSpin16-4, "0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15", 1, 76, 0.000372, 204301
X, dfid, topSpin16-4, "11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15", na, na, na, na
X, dfid, topSpin16-4, "7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15", na, na, na, na
X, dfid, topSpin16-4, "14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15", 5, 603252, 4.03624, 149459
X, dfid, topSpin16-4, "11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15", na, na, na, na
X, dfid, topSpin16-4, "13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15", na, na, na, na
X, dfid, topSpin16-4, "12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15", na, na, na, na
X, dfid, topSpin16-4, "3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15", 5, 388826, 2.60062, 149513
X, dfid, topSpin16-4, "14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15", 1, 155, 0.000919, 168662
X, dfid, topSpin16-4, "3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15", na, na, na, na
X, dfid, topSpin16-4, "4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15", na, na, na, na
X, dfid, topSpin16-4, "7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15", na, na, na, na
X, dfid, topSpin16-4, "2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15", na, na, na, na
X, dfid, topSpin16-4, "0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15", 3, 10961, 0.074401, 147323
X, dfid, topSpin16-4, "14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15", 3, 8337, 0.054744, 152291
X, dfid, topSpin16-4, "0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15", na, na, na, na
X, dfid, topSpin16-4, "5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15", na, na, na, na
X, dfid, topSpin16-4, "14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15", na, na, na, na
X, dfid, topSpin16-4, "14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15", na, na, na, na
X, dfid, topSpin16-4, "6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15", na, na, na, na
X, dfid, topSpin16-4, "14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15", 3, 11928, 0.08137, 146590
X, dfid, topSpin16-4, "5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15", 3, 1964, 0.013784, 142484
X, dfid, topSpin16-4, "0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15", 3, 10130, 0.0709, 142877
X, dfid, topSpin16-4, "2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15", na, na, na, na
X, dfid, topSpin16-4, "13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15", na, na, na, na
X, dfid, topSpin16-4, "9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15", na, na, na, na
X, dfid, topSpin16-4, "3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15", na, na, na, na
X, dfid, topSpin16-4, "0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15", na, na, na, na
X, dfid, topSpin16-4, "8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15", 5, 265123, 1.90513, 139162
X, dfid, topSpin16-4, "6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15", na, na, na, na
X, dfid, topSpin16-4, "5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15", na, na, na, na
X, dfid, topSpin16-4, "4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15", 5, 581055, 3.92991, 147855
X, dfid, topSpin16-4, "4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15", na, na, na, na
X, dfid, topSpin16-4, "14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15", na, na, na, na
X, dfid, topSpin16-4, "13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15", na, na, na, na
X, dfid, topSpin16-4, "0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15", na, na, na, na
X, dfid, topSpin16-4, "7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15", na, na, na, na
X, dfid, topSpin16-4, "4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15", 5, 178068, 1.18543, 150213
X, dfid, topSpin16-4, "14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15", na, na, na, na
X, dfid, topSpin16-4, "0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15", 1, 37, 0.000404, 91584.2
X, dfid, topSpin16-4, "0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15", 3, 10625, 0.07129, 149039
X, dfid, topSpin16-4, "3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15", 5, 894289, 5.96862, 149832
X, dfid, topSpin16-4, "4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15", 3, 7191, 0.051022, 140939
X, dfid, topSpin16-4, "14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15", na, na, na, na
X, dfid, topSpin16-4, "14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15", 3, 7031, 0.046357, 151671
X, dfid, topSpin16-4, "2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15", na, na, na, na
X, dfid, topSpin16-4, "0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15", na, na, na, na
X, dfid, topSpin16-4, "2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15", na, na, na, na
X, dfid, topSpin16-4, "14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15", 3, 8520, 0.061509, 138516
X, dfid, topSpin16-4, "0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15", na, na, na, na
X, dfid, topSpin16-4, "0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15", 5, 419756, 3.64743, 115083
X, dfid, topSpin16-4, "0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15", 3, 7539, 0.076263, 98855.3
X, dfid, topSpin16-4, "2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15", na, na, na, na
X, dfid, topSpin16-4, "3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15", na, na, na, na
